"question_id","study_slug","seo_title","category","level","keywords","meta_description","estimated_read_time_min","prereq_topics","difficulty_progression","related_question_ids"
"152","decode-ways","Decode Ways: 3 Farklı Yaklaşım — Dinamik Programlama","dynamic-programming","intermediate","dynamic programming, dp, memoization, tabulation, optimal substructure, python dp, decode ways, ways to decode, dp strings, python","Decode Ways (Dinamik Programlama kategorisi, intermediate seviye) için 3 farklı çözüm yaklaşımı: brute force, optimize, optimal. Kodlar + karmaşıklık analizi + edge case'ler.","8","recursion, memoization, base case mantığı","önce list/dict + temel recursion tamamla","142,143,144"
"153","partition-equal-subset-sum","Partition Equal Subset Sum: 3 Farklı Yaklaşım — Dinamik Programlama","dynamic-programming","intermediate","dynamic programming, dp, memoization, tabulation, optimal substructure, python dp, partition subset sum, subset sum, dp, python","Partition Equal Subset Sum (Dinamik Programlama kategorisi, intermediate seviye) için 3 farklı çözüm yaklaşımı: brute force, optimize, optimal. Kodlar + karmaşıklık analizi + edge case'ler.","8","recursion, memoization, base case mantığı","önce list/dict + temel recursion tamamla","142,143,144"
"154","kth-largest-element","Kth Largest Element: 3 Farklı Yaklaşım — Heap / Priority Queue","heap","beginner","heap, priority queue, heapq, kth largest, top k, python, mülakat sorusu","Kth Largest Element (Heap / Priority Queue kategorisi, beginner seviye) için 3 farklı çözüm yaklaşımı: brute force, optimize, optimal. Kodlar + karmaşıklık analizi + edge case'ler.","6","binary tree, complete tree, array indexing","önce algorithms/strings temellerini bitir","155,156,157"
"155","top-k-frequent-elements","Top K Frequent Elements: 3 Farklı Yaklaşım — Heap / Priority Queue","heap","intermediate","heap, priority queue, heapq, kth largest, top k, python, mülakat sorusu","Top K Frequent Elements (Heap / Priority Queue kategorisi, intermediate seviye) için 3 farklı çözüm yaklaşımı: brute force, optimize, optimal. Kodlar + karmaşıklık analizi + edge case'ler.","8","binary tree, complete tree, array indexing","önce list/dict + temel recursion tamamla","154,156,157"
"156","merge-k-sorted-lists","Merge K Sorted Lists: 3 Farklı Yaklaşım — Heap / Priority Queue","heap","advanced","heap, priority queue, heapq, kth largest, top k, python, mülakat sorusu","Merge K Sorted Lists (Heap / Priority Queue kategorisi, advanced seviye) için 3 farklı çözüm yaklaşımı: brute force, optimize, optimal. Kodlar + karmaşıklık analizi + edge case'ler.","12","binary tree, complete tree, array indexing","önce DP/heap temellerini bitir, sonra advanced'e geç","154,155,157"
"157","find-median-from-data-stream","Find Median from Data Stream: 3 Farklı Yaklaşım — Heap / Priority Queue","heap","advanced","heap, priority queue, heapq, kth largest, top k, python, mülakat sorusu","Find Median from Data Stream (Heap / Priority Queue kategorisi, advanced seviye) için 3 farklı çözüm yaklaşımı: brute force, optimize, optimal. Kodlar + karmaşıklık analizi + edge case'ler.","12","binary tree, complete tree, array indexing","önce DP/heap temellerini bitir, sonra advanced'e geç","154,155,156"
"158","task-scheduler","Task Scheduler: 3 Farklı Yaklaşım — Heap / Priority Queue","heap","intermediate","heap, priority queue, heapq, kth largest, top k, task scheduler, cooling interval, greedy, python, mülakat sorusu","Task Scheduler (Heap / Priority Queue kategorisi, intermediate seviye) için 3 farklı çözüm yaklaşımı: brute force, optimize, optimal. Kodlar + karmaşıklık analizi + edge case'ler.","8","binary tree, complete tree, array indexing","önce list/dict + temel recursion tamamla","154,155,156"
"159","k-closest-points-to-origin","K Closest Points to Origin: 3 Farklı Yaklaşım — Heap / Priority Queue","heap","intermediate","heap, priority queue, heapq, kth largest, top k, python, mülakat sorusu","K Closest Points to Origin (Heap / Priority Queue kategorisi, intermediate seviye) için 3 farklı çözüm yaklaşımı: brute force, optimize, optimal. Kodlar + karmaşıklık analizi + edge case'ler.","8","binary tree, complete tree, array indexing","önce list/dict + temel recursion tamamla","154,155,156"
"160","last-stone-weight","Last Stone Weight: 3 Farklı Yaklaşım — Heap / Priority Queue","heap","beginner","heap, priority queue, heapq, kth largest, top k, last stone weight, stone smasher, max heap, python, mülakat sorusu","Last Stone Weight (Heap / Priority Queue kategorisi, beginner seviye) için 3 farklı çözüm yaklaşımı: brute force, optimize, optimal. Kodlar + karmaşıklık analizi + edge case'ler.","6","binary tree, complete tree, array indexing","önce algorithms/strings temellerini bitir","154,155,156"
"161","smallest-number-range","Smallest Number Range: 3 Farklı Yaklaşım — Heap / Priority Queue","heap","advanced","heap, priority queue, heapq, kth largest, top k, smallest range, k lists, heap, python, mülakat sorusu","Smallest Number Range (Heap / Priority Queue kategorisi, advanced seviye) için 3 farklı çözüm yaklaşımı: brute force, optimize, optimal. Kodlar + karmaşıklık analizi + edge case'ler.","12","binary tree, complete tree, array indexing","önce DP/heap temellerini bitir, sonra advanced'e geç","154,155,156"
"162","valid-parentheses","Valid Parentheses: 3 Farklı Yaklaşım — Stack (Yığın)","stack","beginner","stack, monotonic stack, lifo, balanced parentheses, valid parentheses, balanced brackets, stack, python, mülakat sorusu","Valid Parentheses (Stack (Yığın) kategorisi, beginner seviye) için 3 farklı çözüm yaklaşımı: brute force, optimize, optimal. Kodlar + karmaşıklık analizi + edge case'ler.","6","LIFO prensibi, array/list operasyonları","önce algorithms/strings temellerini bitir","163,164,165"
"163","min-stack","Min Stack: 3 Farklı Yaklaşım — Stack (Yığın)","stack","intermediate","stack, monotonic stack, lifo, balanced parentheses, min stack, o(1) min, auxiliary stack, python, mülakat sorusu","Min Stack (Stack (Yığın) kategorisi, intermediate seviye) için 3 farklı çözüm yaklaşımı: brute force, optimize, optimal. Kodlar + karmaşıklık analizi + edge case'ler.","8","LIFO prensibi, array/list operasyonları","önce list/dict + temel recursion tamamla","162,164,165"
"164","daily-temperatures","Daily Temperatures: 3 Farklı Yaklaşım — Stack (Yığın)","stack","intermediate","stack, monotonic stack, lifo, balanced parentheses, daily temperatures, monotonic stack, next greater, python, mülakat sorusu","Daily Temperatures (Stack (Yığın) kategorisi, intermediate seviye) için 3 farklı çözüm yaklaşımı: brute force, optimize, optimal. Kodlar + karmaşıklık analizi + edge case'ler.","8","LIFO prensibi, array/list operasyonları","önce list/dict + temel recursion tamamla","162,163,165"
"165","evaluate-reverse-polish-notation","Evaluate Reverse Polish Notation: 3 Farklı Yaklaşım — Stack (Yığın)","stack","intermediate","stack, monotonic stack, lifo, balanced parentheses, python, mülakat sorusu","Evaluate Reverse Polish Notation (Stack (Yığın) kategorisi, intermediate seviye) için 3 farklı çözüm yaklaşımı: brute force, optimize, optimal. Kodlar + karmaşıklık analizi + edge case'ler.","8","LIFO prensibi, array/list operasyonları","önce list/dict + temel recursion tamamla","162,163,164"
"166","largest-rectangle-in-histogram","Largest Rectangle in Histogram: 3 Farklı Yaklaşım — Stack (Yığın)","stack","advanced","stack, monotonic stack, lifo, balanced parentheses, python, mülakat sorusu","Largest Rectangle in Histogram (Stack (Yığın) kategorisi, advanced seviye) için 3 farklı çözüm yaklaşımı: brute force, optimize, optimal. Kodlar + karmaşıklık analizi + edge case'ler.","12","LIFO prensibi, array/list operasyonları","önce DP/heap temellerini bitir, sonra advanced'e geç","162,163,164"
"167","implement-queue-with-stacks","Implement Queue with Stacks: 3 Farklı Yaklaşım — Queue (Kuyruk)","queue","beginner","queue, deque, bfs, fifo, monotonic queue, python, mülakat sorusu","Implement Queue with Stacks (Queue (Kuyruk) kategorisi, beginner seviye) için 3 farklı çözüm yaklaşımı: brute force, optimize, optimal. Kodlar + karmaşıklık analizi + edge case'ler.","6","FIFO prensibi, deque modülü","önce algorithms/strings temellerini bitir","168,169,170"
"168","sliding-window-maximum","Sliding Window Maximum: 3 Farklı Yaklaşım — Queue (Kuyruk)","queue","advanced","queue, deque, bfs, fifo, monotonic queue, sliding window maximum, monotonic queue, max in window, python, mülakat sorusu","Sliding Window Maximum (Queue (Kuyruk) kategorisi, advanced seviye) için 3 farklı çözüm yaklaşımı: brute force, optimize, optimal. Kodlar + karmaşıklık analizi + edge case'ler.","12","FIFO prensibi, deque modülü","önce DP/heap temellerini bitir, sonra advanced'e geç","167,169,170"
"169","design-circular-queue","Design Circular Queue: 3 Farklı Yaklaşım — Queue (Kuyruk)","queue","intermediate","queue, deque, bfs, fifo, monotonic queue, python, mülakat sorusu","Design Circular Queue (Queue (Kuyruk) kategorisi, intermediate seviye) için 3 farklı çözüm yaklaşımı: brute force, optimize, optimal. Kodlar + karmaşıklık analizi + edge case'ler.","8","FIFO prensibi, deque modülü","önce list/dict + temel recursion tamamla","167,168,170"
"170","number-of-recent-calls","Number of Recent Calls: 3 Farklı Yaklaşım — Queue (Kuyruk)","queue","beginner","queue, deque, bfs, fifo, monotonic queue, python, mülakat sorusu","Number of Recent Calls (Queue (Kuyruk) kategorisi, beginner seviye) için 3 farklı çözüm yaklaşımı: brute force, optimize, optimal. Kodlar + karmaşıklık analizi + edge case'ler.","6","FIFO prensibi, deque modülü","önce algorithms/strings temellerini bitir","167,168,169"
"171","moving-average-from-data-stream","Moving Average from Data Stream: 3 Farklı Yaklaşım — Queue (Kuyruk)","queue","intermediate","queue, deque, bfs, fifo, monotonic queue, python, mülakat sorusu","Moving Average from Data Stream (Queue (Kuyruk) kategorisi, intermediate seviye) için 3 farklı çözüm yaklaşımı: brute force, optimize, optimal. Kodlar + karmaşıklık analizi + edge case'ler.","8","FIFO prensibi, deque modülü","önce list/dict + temel recursion tamamla","167,168,169"
