"category","title","level","description","starter_code","test_cases","hints","id"
"python-basics","Kelime Tersleyici","beginner","Cümledeki kelimelerin sırasını tersine çevir,
fakat kelimelerin kendisini tersine çevirme.","def reverse_words(sentence: str) -> str:
    # ""Merhaba Dünya"" -> ""Dünya Merhaba""
    pass","[{""input"": ""Merhaba Dünya"", ""expected"": ""Dünya Merhaba""}, {""input"": ""Python çok güzel"", ""expected"": ""güzel çok Python""}]","[""💡 İpucu 1: sentence.split() ile kelimelere ayır."", ""💡 İpucu 2: words[::-1] veya reversed(words) ile sırayı tersine çevir."", ""💡 İpucu 3: ' '.join(...) ile tekrar birleştir.""]","11"
"python-basics","İkinci En Büyük","beginner","Bir listedeki ikinci en büyük eşsiz sayıyı döndür.
Eğer yoksa None döndür.","def second_largest(numbers: list):
    # Tekrar eden sayıları dikkate alma
    pass","[{""input"": [3, 1, 4, 1, 5, 9, 2, 6], ""expected"": 6}, {""input"": [5, 5, 5], ""expected"": null}, {""input"": [10, 20], ""expected"": 10}]","[""💡 İpucu 1: Önce set() ile tekrarları kaldır."", ""💡 İpucu 2: sorted() veya max() kullanarak en büyükleri bul."", ""💡 İpucu 3: len(unique) < 2 ise None döndür, yoksa sorted(unique)[-2]""]","12"
"python-basics","Sezar Şifresi","beginner","Metni n karakter kaydırarak şifrele (yalnızca İngilizce harfler).
Büyük/küçük harf korunmalı, diğer karakterler değişmemeli.","def caesar_cipher(text: str, shift: int) -> str:
    # Her harfi alfabede shift kadar ilerlet
    pass","[{""input"": {""text"": ""Hello"", ""shift"": 3}, ""expected"": ""Khoor""}, {""input"": {""text"": ""xyz"", ""shift"": 3}, ""expected"": ""abc""}, {""input"": {""text"": ""Hello, World!"", ""shift"": 13}, ""expected"": ""Uryyb, Jbeyq!""}]","[""💡 İpucu 1: ord() ile karakterin ASCII kodunu al, chr() ile geri dönüştür."", ""💡 İpucu 2: Büyük harf için: chr((ord(c) - ord('A') + shift) % 26 + ord('A'))"", ""💡 İpucu 3: Harf olmayanları (noktalama vb.) olduğu gibi bırak.""]","13"
"python-basics","Matris Transpozu","beginner","Bir matrisin transpozunu al (satırları sütun, sütunları satır yap).","def transpose(matrix: list) -> list:
    # [[1,2,3],[4,5,6]] -> [[1,4],[2,5],[3,6]]
    pass","[{""input"": [[1, 2, 3], [4, 5, 6]], ""expected"": [[1, 4], [2, 5], [3, 6]]}, {""input"": [[1, 2], [3, 4], [5, 6]], ""expected"": [[1, 3, 5], [2, 4, 6]]}]","[""💡 İpucu 1: zip(*matrix) sihirli bir araçtır — satırları transpose eder."", ""💡 İpucu 2: [list(row) for row in zip(*matrix)] ile sonucu listele."", ""💡 İpucu 3: Manuel yol: result[j][i] = matrix[i][j] ile iç içe döngü.""]","14"
"python-basics","Sayı Heceleme","beginner","0-999 arası bir sayıyı Türkçe olarak hecelere yaz.
Örnek: 42 → 'kırk iki', 100 → 'yüz'","def number_to_words(n: int) -> str:
    ones = ['','bir','iki','üç','dört','beş','altı','yedi','sekiz','dokuz']
    tens = ['','on','yirmi','otuz','kırk','elli','altmış','yetmiş','seksen','doksan']
    # Buraya kodunu yaz
    pass","[{""input"": 0, ""expected"": ""sıfır""}, {""input"": 15, ""expected"": ""on beş""}, {""input"": 42, ""expected"": ""kırk iki""}, {""input"": 100, ""expected"": ""yüz""}, {""input"": 256, ""expected"": ""iki yüz elli altı""}]","[""💡 İpucu 1: n == 0 ise 'sıfır' döndür."", ""💡 İpucu 2: Yüzler basamağı: n // 100 → 'X yüz', onlar: (n % 100) // 10, birler: n % 10"", ""💡 İpucu 3: Parçaları bir listeye ekle, boşlukla birleştir: ' '.join(parts)""]","15"
"strings","Parantez Dengesi","beginner","Verilen bir string'deki parantezlerin dengeli olup olmadığını kontrol et.
( ) [ ] { } desteklenir.","def is_balanced(s: str) -> bool:
    # Stack (yığın) veri yapısını kullan
    pass","[{""input"": ""([]{})"", ""expected"": true}, {""input"": ""([)]"", ""expected"": false}, {""input"": """", ""expected"": true}, {""input"": ""((("", ""expected"": false}]","[""💡 İpucu 1: Bir yığın (stack = []) kullan."", ""💡 İpucu 2: Açık parantez görünce yığına ekle (push). Kapalı görünce yığından çıkar (pop) ve eşleş mi kontrol et."", ""💡 İpucu 3: Sonunda yığın boşsa True, doluysa False döndür.""]","16"
"strings","Slug Oluşturucu","beginner","Bir başlığı URL-dostu slug'a çevir.
Küçük harf, boşlukları tire ile değiştir, özel karakterleri kaldır.","def create_slug(title: str) -> str:
    # ""Merhaba Dünya! Python öğreniyorum"" → ""merhaba-dunya-python-ogreniyorum""
    pass","[{""input"": ""Merhaba Dünya"", ""expected"": ""merhaba-dunya""}, {""input"": ""Python 3.11 Neler Getirdi?"", ""expected"": ""python-311-neler-getirdi""}]","[""💡 İpucu 1: .lower() ile küçük harfe çevir."", ""💡 İpucu 2: Türkçe karakterleri değiştir: 'ş'→'s', 'ğ'→'g', vb."", ""💡 İpucu 3: Harf/rakam olmayanları kaldır, boşlukları '-' yap.""]","17"
"strings","Run-Length Encoding","beginner","Bir string'i run-length encoding ile sıkıştır.
'aaabbc' → '3a2b1c'","def rle_encode(s: str) -> str:
    # Ardışık aynı karakterleri say ve sıkıştır
    pass","[{""input"": ""aaabbc"", ""expected"": ""3a2b1c""}, {""input"": ""aabbccdd"", ""expected"": ""2a2b2c2d""}, {""input"": ""abc"", ""expected"": ""1a1b1c""}]","[""💡 İpucu 1: Mevcut karakteri ve sayısını tut: current_char, count."", ""💡 İpucu 2: Karakter değişince sonucu ekle: result += str(count) + current_char"", ""💡 İpucu 3: Döngü bittikten sonra son grubu da eklemeyi unutma.""]","18"
"strings","Kelime Sıklığı","beginner","Bir metindeki en sık geçen k kelimeyi döndür.
Büyük/küçük harf duyarlı olmasın, noktalama işaretlerini yok say.","def top_k_words(text: str, k: int) -> list:
    # En sık geçen k kelimeyi liste olarak döndür
    pass","[{""input"": {""k"": 2, ""text"": ""bir iki bir üç iki bir""}, ""expected"": [""bir"", ""iki""]}, {""input"": {""k"": 1, ""text"": ""the cat sat on the mat the""}, ""expected"": [""the""]}]","[""💡 İpucu 1: .lower() ve .split() ile kelimeleri ayır."", ""💡 İpucu 2: collections.Counter(words) ile frekans sözlüğü oluştur."", ""💡 İpucu 3: counter.most_common(k) ile en sık k kelimeyi al.""]","19"
"strings","String Sıkıştırma","beginner","Bir string'i sıkıştır: art arda tekrar eden karakterleri tek karaktere indir.
'aabbcc' → 'abc', 'aabba' → 'aba'","def compress(s: str) -> str:
    # Art arda tekrarları kaldır
    pass","[{""input"": ""aabbcc"", ""expected"": ""abc""}, {""input"": ""aabba"", ""expected"": ""aba""}, {""input"": ""abcdef"", ""expected"": ""abcdef""}]","[""💡 İpucu 1: Boş string durumunu kontrol et."", ""💡 İpucu 2: result = s[0] ile başla, sonraki karakter öncekinden farklıysa ekle."", ""💡 İpucu 3: itertools.groupby(s) ile de çözebilirsin.""]","20"
"strings","Roman Numerals","intermediate","1-3999 arasındaki bir tam sayıyı Roma rakamlarına çevir.","def to_roman(num: int) -> str:
    values = [1000,900,500,400,100,90,50,40,10,9,5,4,1]
    symbols = ['M','CM','D','CD','C','XC','L','XL','X','IX','V','IV','I']
    # Buraya kodunu yaz
    pass","[{""input"": 3, ""expected"": ""III""}, {""input"": 58, ""expected"": ""LVIII""}, {""input"": 1994, ""expected"": ""MCMXCIV""}]","[""💡 İpucu 1: values ve symbols listesi zaten verilmiş, sırayla karşılaştır."", ""💡 İpucu 2: num >= value iken: result += symbol, num -= value"", ""💡 İpucu 3: CM=900, CD=400 gibi özel durumlar listeye dahil edilmiş, endişelenme.""]","21"
"strings","Pangram Kontrolü","beginner","Bir cümle pangram mı? (İngiliz alfabesinin tüm harflerini içeriyor mu?)
Büyük/küçük harf duyarlı olmasın.","def is_pangram(sentence: str) -> bool:
    # 26 İngilizce harfin hepsi var mı?
    pass","[{""input"": ""The quick brown fox jumps over the lazy dog"", ""expected"": true}, {""input"": ""Hello World"", ""expected"": false}]","[""💡 İpucu 1: sentence.lower() ile küçük harfe çevir."", ""💡 İpucu 2: set() ile unique harfleri bul."", ""💡 İpucu 3: set('abcdefghijklmnopqrstuvwxyz').issubset(set(sentence.lower()))""]","22"
"strings","Kelime Sayısı (Gelişmiş)","beginner","Bir metinde her satırdaki kelime sayısını döndür.
Boş satırları sıfır olarak say.","def word_count_per_line(text: str) -> list:
    # Satır satır böl, her satırdaki kelime sayısını döndür
    pass","[{""input"": ""Merhaba dünya\nPython öğreniyorum\n"", ""expected"": [2, 2, 0]}, {""input"": ""bir\n\nüç"", ""expected"": [1, 0, 1]}]","[""💡 İpucu 1: text.split('\\n') ile satırlara böl."", ""💡 İpucu 2: Her satır için len(line.split()) kelime sayısını verir."", ""💡 İpucu 3: List comprehension: [len(line.split()) for line in lines]""]","23"
"strings","Cümle Başlığı","beginner","Her kelimenin ilk harfini büyük yap (Title Case),
ama bağlaçları ('ve','ile','ya','ya da') küçük bırak.","def smart_title(sentence: str) -> str:
    exceptions = {'ve','ile','ya','veya','de','da'}
    # İlk kelime her zaman büyük, diğerleri kural dahilinde
    pass","[{""input"": ""python ve django ile web geliştirme"", ""expected"": ""Python ve Django ile Web Geliştirme""}, {""input"": ""merhaba dünya"", ""expected"": ""Merhaba Dünya""}]","[""💡 İpucu 1: Kelimelere ayır, ilk kelimeyi her zaman büyük yap."", ""💡 İpucu 2: Diğer kelimeler için: exceptions setinde varsa küçük, yoksa .capitalize()"", ""💡 İpucu 3: ' '.join(result_words) ile birleştir.""]","24"
"strings","DNA Tamamlayıcısı","beginner","Bir DNA zincirinin tamamlayıcısını bul.
A↔T, C↔G  kuralını uygula ve sonucu tersine çevir.","def dna_complement(strand: str) -> str:
    # ATCG -> CGAT (önce tamamlayıcı sonra ters)
    pass","[{""input"": ""ATCG"", ""expected"": ""CGAT""}, {""input"": ""TTAA"", ""expected"": ""TTAA""}]","[""💡 İpucu 1: Bir eşleşme dict'i oluştur: {'A':'T','T':'A','C':'G','G':'C'}"", ""💡 İpucu 2: Her karakteri eşleşme dict'inden bul: comp[c]"", ""💡 İpucu 3: Tamamlayıcıyı oluşturduktan sonra [::-1] ile tersine çevir.""]","25"
"list-dict","İki Listeyi Birleştir","beginner","İki sıralı listeyi birleştirerek yeni bir sıralı liste oluştur.
sort() kullanmadan yap.","def merge_sorted(a: list, b: list) -> list:
    # İki işaretçi (pointer) tekniği kullan
    pass","[{""input"": {""a"": [1, 3, 5], ""b"": [2, 4, 6]}, ""expected"": [1, 2, 3, 4, 5, 6]}, {""input"": {""a"": [1, 2], ""b"": [3, 4, 5, 6]}, ""expected"": [1, 2, 3, 4, 5, 6]}, {""input"": {""a"": [], ""b"": [1, 2, 3]}, ""expected"": [1, 2, 3]}]","[""💡 İpucu 1: İki işaretçi: i=0 (a için), j=0 (b için)"", ""💡 İpucu 2: Her adımda küçük olanı result'a ekle ve o işaretçiyi ilerlet."", ""💡 İpucu 3: Döngü bitince kalan elemanları result.extend(a[i:]) ile ekle.""]","26"
"list-dict","Sözlük Birleştirme","beginner","İki sözlüğü birleştir. Aynı anahtarlar varsa değerlerini topla.","def merge_dicts(d1: dict, d2: dict) -> dict:
    # {""a"":1,""b"":2} + {""b"":3,""c"":4} -> {""a"":1,""b"":5,""c"":4}
    pass","[{""input"": {""d1"": {""a"": 1, ""b"": 2}, ""d2"": {""b"": 3, ""c"": 4}}, ""expected"": {""a"": 1, ""b"": 5, ""c"": 4}}, {""input"": {""d1"": {}, ""d2"": {""x"": 10}}, ""expected"": {""x"": 10}}]","[""💡 İpucu 1: d1.copy() ile başla, d2'nin öğelerini üzerine ekle."", ""💡 İpucu 2: result.get(key, 0) + value ile birleştirme yap."", ""💡 İpucu 3: collections.Counter da bu iş için kullanılabilir.""]","27"
"list-dict","Gruplama","beginner","Bir sayı listesini 'tek' ve 'çift' olarak grupla.
Sonuç: {'tek': [...], 'çift': [...]}","def group_by_parity(items: list) -> dict:
    # Sayıları tek ve çift olarak grupla
    pass","[{""input"": [1, 2, 3, 4, 5, 6], ""expected"": {""tek"": [1, 3, 5], ""çift"": [2, 4, 6]}}, {""input"": [10, 15, 20, 25], ""expected"": {""tek"": [15, 25], ""çift"": [10, 20]}}]","[""💡 İpucu 1: Boş bir dict oluştur: result = {'tek': [], 'çift': []}"", ""💡 İpucu 2: Her öğe için: if n % 2 == 0 → 'çift', else → 'tek'"", ""💡 İpucu 3: result['tek'].append(n) veya result['çift'].append(n)""]","28"
"list-dict","Fark Listesi","beginner","İki liste arasındaki farkları bul: yalnızca A'da, yalnızca B'de ve ikisinde birden olan elemanlar.","def list_diff(a: list, b: list) -> dict:
    # {'only_a': [...], 'only_b': [...], 'common': [...]} döndür
    pass","[{""input"": {""a"": [1, 2, 3, 4], ""b"": [3, 4, 5, 6]}, ""expected"": {""common"": [3, 4], ""only_a"": [1, 2], ""only_b"": [5, 6]}}]","[""💡 İpucu 1: set() dönüşümü yap: sa=set(a), sb=set(b)"", ""💡 İpucu 2: only_a = sorted(sa - sb), only_b = sorted(sb - sa)"", ""💡 İpucu 3: common = sorted(sa & sb)  (kesişim)""]","29"
"list-dict","Matris Çarpımı","intermediate","İki matrisi çarp (nokta çarpımı). numpy kullanma.","def matrix_multiply(a: list, b: list) -> list:
    # C[i][j] = sum(A[i][k] * B[k][j] for k in range(...))
    pass","[{""input"": {""a"": [[1, 2], [3, 4]], ""b"": [[5, 6], [7, 8]]}, ""expected"": [[19, 22], [43, 50]]}]","[""💡 İpucu 1: Boyutlar: a = m×n, b = n×p → sonuç m×p"", ""💡 İpucu 2: Üç iç içe döngü: i (satır a), j (sütun b), k (ortak boyut)"", ""💡 İpucu 3: C[i][j] += A[i][k] * B[k][j]""]","30"
"list-dict","Stok Takibi","beginner","Bir mağazanın stok hareketlerini takip et.
Her hareket '+ürün:miktar' veya '-ürün:miktar' şeklinde.","def track_inventory(movements: list) -> dict:
    # ['+elma:10', '-elma:3', '+armut:5'] -> {'elma':7,'armut':5}
    pass","[{""input"": [""+elma:10"", ""-elma:3"", ""+armut:5""], ""expected"": {""elma"": 7, ""armut"": 5}}, {""input"": [""+kalem:100"", ""+kalem:50"", ""-kalem:30""], ""expected"": {""kalem"": 120}}]","[""💡 İpucu 1: Her harekette sign = m[0], geri kalanını ':' ile böl."", ""💡 İpucu 2: item, qty = m[1:].split(':'); qty = int(qty)"", ""💡 İpucu 3: sign=='+' ise ekle, '-' ise çıkar.""]","31"
"list-dict","Hareketli Ortalama","beginner","k elemanlı hareketli ortalama hesapla.
Yeterli eleman olmayan başlangıç pencerelerini atla.","def moving_average(nums: list, k: int) -> list:
    # Her k'lı pencere için ortalamayı hesapla
    pass","[{""input"": {""k"": 3, ""nums"": [1, 2, 3, 4, 5]}, ""expected"": [2, 3, 4]}, {""input"": {""k"": 2, ""nums"": [10, 20, 30, 40]}, ""expected"": [15, 25, 35]}]","[""💡 İpucu 1: range(k-1, len(nums)) ile kayan pencere için döngü kur."", ""💡 İpucu 2: Her adımda dilim: nums[i-k+1:i+1]"", ""💡 İpucu 3: sum(window)/k ile ortalmayı hesapla ve result'a ekle.""]","32"
"list-dict","En Uzun Artan Alt Dizi","intermediate","Bir dizideki en uzun sürekli artan alt dizinin uzunluğunu bul.","def longest_increasing_subsequence(nums: list) -> int:
    # Sürekli artan: her eleman bir öncekinden büyük
    pass","[{""input"": [1, 3, 5, 4, 7], ""expected"": 3}, {""input"": [2, 2, 2, 2, 2], ""expected"": 1}, {""input"": [1, 2, 3, 4, 5], ""expected"": 5}]","[""💡 İpucu 1: current ve max_len sayaçları tut."", ""💡 İpucu 2: nums[i] > nums[i-1] ise current += 1, değilse current = 1"", ""💡 İpucu 3: Her adımda max_len = max(max_len, current) güncelle.""]","33"
"list-dict","Fiyat Analizi","beginner","Ürün fiyatlarının bulunduğu bir sözlükten
min, max ve ortalama fiyatı döndür.","def price_analysis(prices: dict) -> dict:
    # {'elma':5,'armut':8,'muz':3} -> {'min':3,'max':8,'avg':5.33}
    pass","[{""input"": {""muz"": 3, ""elma"": 5, ""armut"": 8}, ""expected"": {""avg"": 5.33, ""max"": 8, ""min"": 3}}]","[""💡 İpucu 1: values = list(prices.values()) ile değerleri al."", ""💡 İpucu 2: min(), max() ve sum()/len() ile istatistikleri hesapla."", ""💡 İpucu 3: round(avg, 2) ile yuvarla.""]","34"
"list-dict","Kümülatif Toplam","beginner","Bir listenin kümülatif (birikimli) toplamını döndür.
[1,2,3,4] → [1,3,6,10]","def cumulative_sum(nums: list) -> list:
    # Her eleman, o noktaya kadar olan toplam olmalı
    pass","[{""input"": [1, 2, 3, 4], ""expected"": [1, 3, 6, 10]}, {""input"": [5, 5, 5, 5, 5], ""expected"": [5, 10, 15, 20, 25]}]","[""💡 İpucu 1: Döngü başında running_total = 0 tut."", ""💡 İpucu 2: Her elemanda running_total += n, ardından result'a ekle."", ""💡 İpucu 3: itertools.accumulate(nums) de aynı sonucu verir.""]","35"
"pandas","Favori Renk Anketi","beginner","Bir anket sonucu sözlüğü veriliyor. En popüler rengi bul.
(pandas kullanmadan, saf Python ile yap)","def favorite_color(poll_data: dict) -> str:
    # poll_data = {""Ahmet"": ""Mavi"", ""Ayşe"": ""Kırmızı"", ...}
    # En çok tekrar eden rengi döndür
    pass","[{""input"": {""A"": ""Mavi"", ""B"": ""Kırmızı"", ""C"": ""Mavi"", ""D"": ""Yeşil"", ""E"": ""Mavi""}, ""expected"": ""Mavi""}, {""input"": {""X"": ""Siyah"", ""Y"": ""Siyah""}, ""expected"": ""Siyah""}]","[""💡 İpucu 1: Boş bir dict oluştur: counts = {}"", ""💡 İpucu 2: Her değer için counts[color] = counts.get(color, 0) + 1"", ""💡 İpucu 3: max(counts, key=counts.get) ile en yüksek frekanslıyı bul.""]","36"
"pandas","Eksik Değer Doldurma","beginner","Bir sayı listesindeki None değerleri, listenin ortalamasıyla doldur.
(pandas kullanmadan, saf Python ile)","def fill_missing(numbers: list) -> list:
    # [1, None, 3, None, 5] -> [1, 3.0, 3, 3.0, 5]
    pass","[{""input"": [1, null, 3, null, 5], ""expected"": [1, 3, 3, 3, 5]}, {""input"": [10, null, 20], ""expected"": [10, 15, 20]}]","[""💡 İpucu 1: Önce sadece sayısal değerlerin ortalamasını hesapla."", ""💡 İpucu 2: nums = [x for x in numbers if x is not None]"", ""💡 İpucu 3: Ortalama = sum(nums) / len(nums); sonra None'ları bu değerle değiştir.""]","37"
"pandas","Satış Raporu","beginner","Satış verisini ürün bazında grupla, toplam satışı hesapla ve en çok satan ürünü döndür.","def top_selling_product(sales_data: list) -> str:
    # [{'product':'A','amount':100}, ...] -> en çok satan ürün adı
    pass","[{""input"": [{""amount"": 100, ""product"": ""A""}, {""amount"": 200, ""product"": ""B""}, {""amount"": 150, ""product"": ""A""}], ""expected"": ""A""}]","[""💡 İpucu 1: Bir dict ile ürün → toplam satış tut: totals = {}"", ""💡 İpucu 2: Her kayıt için totals[product] = totals.get(product, 0) + amount"", ""💡 İpucu 3: max(totals, key=totals.get) ile en yüksek satışlı ürünü bul.""]","38"
"pandas","Günlük Ortalama","intermediate","Günlük veri sözlüğünden haftalık ortalama hesapla.
Her hafta 7 günlük gruplara böl ve ortalamasını al.","def weekly_average(daily_data: dict) -> list:
    # {'2024-01-01': 10, '2024-01-02': 20, ...} -> [hafta1_ort, hafta2_ort, ...]
    pass","[{""input"": {""d1"": 10, ""d2"": 20, ""d3"": 30, ""d4"": 40, ""d5"": 50, ""d6"": 60, ""d7"": 70, ""d8"": 80}, ""expected"": [40, 80]}]","[""💡 İpucu 1: Değerleri listeye al: values = list(daily_data.values())"", ""💡 İpucu 2: 7'şerlik gruplara böl: [values[i:i+7] for i in range(0, len(values), 7)]"", ""💡 İpucu 3: Her grubun ortalamasını al: sum(group)/len(group)""]","39"
