category,title,slug,level,description,starter_code,test_cases,hints,id,function_name
data-structures,Matris Çarpımı,matris-carpimi,intermediate,İki matrisi çarpan bir fonksiyon yaz. Sol matrisin sütun sayısı sağ matrisin satır sayısına eşit olmalıdır; sonuç matrisi (m x p) boyutunda olur. Standart iç-çarpım algoritması kullan.,"def matrix_multiply(x: dict) -> list[list[int]]:
    pass","[{""input"": {""a"": [[1, 2], [3, 4]], ""b"": [[5, 6], [7, 8]]}, ""expected"": [[19, 22], [43, 50]], ""description"": ""2x2 * 2x2""}, {""input"": {""a"": [[1, 2, 3]], ""b"": [[4], [5], [6]]}, ""expected"": [[32]], ""description"": ""1x3 * 3x1""}, {""input"": {""a"": [[1, 0], [0, 1]], ""b"": [[5, 6], [7, 8]]}, ""expected"": [[5, 6], [7, 8]], ""description"": ""birim matris""}, {""input"": {""a"": [[0, 0], [0, 0]], ""b"": [[1, 2], [3, 4]]}, ""expected"": [[0, 0], [0, 0]], ""description"": ""sıfır matris""}]","[""💡 İpucu 1: Boyutlar: a = m×n, b = n×p → sonuç m×p"", ""💡 İpucu 2: Üç iç içe döngü: i (satır a), j (sütun b), k (ortak boyut)"", ""💡 İpucu 3: C[i][j] += A[i][k] * B[k][j]""]",30,matrix_multiply
data-structures,En Uzun Artan Alt Dizi,en-uzun-artan-alt-dizi,intermediate,"Bir dizideki en uzun sürekli artan alt dizinin uzunluğunu bul.
Sürekli = ardışık indisler (skip yok).
Örnek: [10, 9, 2, 5, 3, 7, 101, 18] için 4 ([2,3,7,101] veya [3,5,7,18]).
DP yaklaşımı: dp[i] = nums[i]'den biten en uzun artan alt dizi.","def longest_increasing_subsequence(nums: list[int]) -> int:
    pass","[{""input"": [1, 3, 5, 4, 7], ""expected"": 3}, {""input"": [2, 2, 2, 2, 2], ""expected"": 1}, {""input"": [1, 2, 3, 4, 5], ""expected"": 5}]","[""💡 İpucu 1: current ve max_len sayaçları tut."", ""💡 İpucu 2: nums[i] > nums[i-1] ise current += 1, değilse current = 1"", ""💡 İpucu 3: Her adımda max_len = max(max_len, current) güncelle.""]",33,longest_increasing_subsequence
data-structures,Fiyat Analizi,fiyat-analizi,beginner,"Ürün fiyatlarının bulunduğu bir sözlükten min, max ve ortalama fiyatı döndür.
Örnek: {'ekmek': 5, 'süt': 12, 'peynir': 45} → (5, 45, 20.67).
Boş dict ise None veya raise ValueError. Ortalama 2 ondalık yuvarlanabilir.","def price_analysis(x: dict) -> dict:
    pass","[{""""input"""": {""""muz"""": 3, """"elma"""": 5, """"armut"""": 8}, """"expected"""": {""""avg"""": 5.33, """"max"""": 8, """"min"""": 3}, """"description"""": """"3 urun""""}, {""""input"""": {""""tek"""": 10}, """"expected"""": {""""avg"""": 10, """"max"""": 10, """"min"""": 10}, """"description"""": """"tek urun""""}, {""""input"""": {}, """"expected"""": null, """"description"""": """"bos sozluk""""}]","[""💡 İpucu 1: values = list(prices.values()) ile değerleri al."", ""💡 İpucu 2: min(), max() ve sum()/len() ile istatistikleri hesapla."", ""💡 İpucu 3: round(avg, 2) ile yuvarla.""]",34,price_analysis
data-structures,Kümülatif Toplam,kumulatif-toplam,beginner,"Bir listenin kümülatif (birikimli) toplamını hesapla.
Her index i için sonuç[i] = input[0] + input[1] + ... + input[i].
Boş liste için boş liste döndür.","def cumulative_sum(nums: list[int]) -> list[int]:
    pass","[{""input"": [1, 2, 3, 4], ""expected"": [1, 3, 6, 10], ""description"": ""artan dizi""}, {""input"": [5, 5, 5, 5, 5], ""expected"": [5, 10, 15, 20, 25], ""description"": ""sabit değerler""}, {""input"": [10], ""expected"": [10], ""description"": ""tek eleman""}, {""input"": [], ""expected"": [], ""description"": ""boş liste""}]","[""💡 İpucu 1: Döngü başında running_total = 0 tut."", ""💡 İpucu 2: Her elemanda running_total += n, ardından result'a ekle."", ""💡 İpucu 3: itertools.accumulate(nums) de aynı sonucu verir.""]",35,cumulative_sum
pandas,Eksik Değer Doldurma,eksik-deger-doldurma,beginner,"Bir sayı listesindeki None değerleri, listenin ortalamasıyla doldur. Ortalama hesaplanırken None değerler yoksayılır. Tüm liste None ise tüm elemanlar None kalır. Liste boşsa boş liste döndür.

Örnek: [1, None, 3, None, 5] → [1, 3.0, 3, 3.0, 5] (ortalama = 3.0)

pandas/NumPy kullanmadan, saf Python (sum, len, list comprehension) ile çöz.","def fill_missing(nums: list[int]) -> list[int | float]:
    pass","[{""input"": [1, null, 3, null, 5], ""expected"": [1, 3.0, 3, 3.0, 5]}, {""input"": [10, null, 20], ""expected"": [10, 15.0, 20]}]","[""💡 İpucu 1: Önce sadece sayısal değerlerin ortalamasını hesapla."", ""💡 İpucu 2: nums = [x for x in numbers if x is not None]"", ""💡 İpucu 3: Ortalama = sum(nums) / len(nums); sonra None'ları bu değerle değiştir.""]",37,fill_missing
pandas,Satış Raporu,satis-raporu,beginner,"Satış verisini ürün bazında grupla, toplam satışı hesapla ve en çok satan ürünü döndür.","def top_selling_product(mapping: dict, data: dict, mapping2: dict) -> str:
    pass","[{""input"": [{""product"": ""A"", ""amount"": 100}, {""product"": ""B"", ""amount"": 200}, {""product"": ""A"", ""amount"": 150}], ""expected"": ""A"", ""description"": ""A toplam 250, B 200""}, {""input"": [{""product"": ""X"", ""amount"": 50}], ""expected"": ""X"", ""description"": ""tek ürün""}, {""input"": [{""product"": ""A"", ""amount"": 100}, {""product"": ""B"", ""amount"": 100}], ""expected"": ""A"", ""description"": ""beraberlikte ilk gelen""}, {""input"": [{""product"": ""K"", ""amount"": 5}, {""product"": ""L"", ""amount"": 5}, {""product"": ""M"", ""amount"": 10}], ""expected"": ""M"", ""description"": ""açık ara kazanan""}]","[""💡 İpucu 1: Bir dict ile ürün → toplam satış tut: totals = {}"", ""💡 İpucu 2: Her kayıt için totals[product] = totals.get(product, 0) + amount"", ""💡 İpucu 3: max(totals, key=totals.get) ile en yüksek satışlı ürünü bul.""]",38,top_selling_product
pandas,Günlük Ortalama,gunluk-ortalama,intermediate,"Günlük veri sözlüğünden haftalık ortalama hesapla.
Her hafta 7 günlük gruplara böl ve ortalamasını al.","def weekly_average(x: dict) -> list[float]:
    pass","[{""""input"""": {""""d1"""": 10, """"d2"""": 20, """"d3"""": 30, """"d4"""": 40, """"d5"""": 50, """"d6"""": 60, """"d7"""": 70, """"d8"""": 80}, """"expected"""": [40.0, 80.0], """"description"""": """"8 gun 2 hafta""""}, {""""input"""": {""""d1"""": 7, """"d2"""": 7, """"d3"""": 7, """"d4"""": 7, """"d5"""": 7, """"d6"""": 7, """"d7"""": 7}, """"expected"""": [7.0], """"description"""": """"tam 1 hafta""""}, {""""input"""": {}, """"expected"""": [], """"description"""": """"bos veri""""}]","[""💡 İpucu 1: Değerleri listeye al: values = list(daily_data.values())"", ""💡 İpucu 2: 7'şerlik gruplara böl: [values[i:i+7] for i in range(0, len(values), 7)]"", ""💡 İpucu 3: Her grubun ortalamasını al: sum(group)/len(group)""]",39,weekly_average
pandas,Korelasyon Analizi,korelasyon-analizi,intermediate,"İki sayı listesi arasındaki Pearson korelasyonunu hesapla ve yorumla.
0.7+ güçlü, 0.4-0.7 orta, <0.4 zayıf.","def correlation_analysis(x: dict) -> dict:
    pass","[{""input"": {""x"": [1, 2, 3, 4, 5], ""y"": [2, 4, 6, 8, 10]}, ""expected"": {""correlation"": 1.0, ""strength"": ""güçlü""}}, {""input"": {""x"": [1, 2, 3, 4, 5], ""y"": [5, 4, 3, 2, 1]}, ""expected"": {""correlation"": -1.0, ""strength"": ""güçlü""}}]","[""""İpucu 1: Pearson = cov(X, Y) / (std(X) * std(Y))."""", """"İpucu 2: Önce ortalama al, sonra sapma çarpımı topla."""", """"İpucu 3: |r| < 0.4 zayıf, 0.4-0.7 orta, ≥ 0.7 güçlü.""""]",40,correlation_analysis
pandas,Tekrar Eden Satırlar,tekrar-eden-satirlar,beginner,"Bir listedeki tekrar eden öğeleri kaldır ve kaç tane kaldırıldığını döndür. Sonuç: (temizlenmiş_liste, kaldırılan_sayısı) tuple'ı. Sıra korunur, ilk görülen kalır.

Örnek: [1, 2, 2, 3, 3, 3, 4] → ([1, 2, 3, 4], 3) (3 adet tekrar kaldırıldı: bir 2 ve iki 3).

dict.fromkeys veya set kullanmadan, manuel çözüm gerekli.","def remove_duplicates_count(nums: list[int]) -> tuple[list[int], int]:
    # dict.fromkeys veya set yasak
    # Manuel dedupe (sıra korunur, ilk görülen kalır)
    pass","[{""input"": [1, 2, 2, 3, 3, 3, 4], ""expected"": [[1, 2, 3, 4], 3]}, {""input"": [""a"", ""b"", ""a"", ""c""], ""expected"": [[""a"", ""b"", ""c""], 1]}]","[""💡 İpucu 1: seen = set() ile görülen öğeleri takip et."", ""💡 İpucu 2: Her öğe için: if item not in seen → ekle, else → sayacı artır."", ""💡 İpucu 3: Sonuç: [clean_list, removed_count]""]",41,remove_duplicates_count
pandas,Yaş Grubu Segmentasyonu,yas-grubu-segmentasyonu,beginner,"Yaş listesini gruplara ayır: 0-17 'Genç', 18-64 'Yetişkin', 65+ 'Yaşlı'.
Her yaş için karşılık gelen etiketi döndür.
Örnek: [15, 25, 70] → ['Genç', 'Yetişkin', 'Yaşlı']. Pandas ile pd.cut veya saf Python ile if-elif-else.","def age_segment(ages: list[int]) -> list[str]:
    pass","[{""input"": [15, 25, 70, 5, 45], ""expected"": [""Genç"", ""Yetişkin"", ""Yaşlı"", ""Genç"", ""Yetişkin""], ""description"": ""karışık yaşlar""}, {""input"": [0, 17, 18, 64, 65], ""expected"": [""Genç"", ""Genç"", ""Yetişkin"", ""Yetişkin"", ""Yaşlı""], ""description"": ""sınır değerler""}, {""input"": [100, 200], ""expected"": [""Yaşlı"", ""Yaşlı""], ""description"": ""çok yaşlılar""}, {""input"": [], ""expected"": [], ""description"": ""boş liste""}]","[""💡 İpucu 1: Her yaş için koşullu kontrol yap."", ""💡 İpucu 2: if age <= 17: 'Genç', elif age <= 64: 'Yetişkin', else: 'Yaşlı'"", ""💡 İpucu 3: List comprehension kullan: [segment(a) for a in ages]""]",42,age_segment
pandas,Grup Toplamı,grup-toplami,intermediate,"Satış verisinden bölge bazında toplam satışı hesapla.
Sonuç: {bölge: toplam_satış} sözlüğü","def region_totals(sales: list[dict]) -> dict:
    pass","[{""input"": [{""region"": ""A"", ""sales"": 100}, {""region"": ""B"", ""sales"": 50}, {""region"": ""A"", ""sales"": 150}, {""region"": ""B"", ""sales"": 100}], ""expected"": {""A"": 250, ""B"": 150}, ""description"": ""2 bölge""}, {""input"": [{""region"": ""X"", ""sales"": 10}], ""expected"": {""X"": 10}, ""description"": ""tek bölge""}, {""input"": [{""region"": ""A"", ""sales"": 5}, {""region"": ""B"", ""sales"": 10}, {""region"": ""C"", ""sales"": 15}], ""expected"": {""A"": 5, ""B"": 10, ""C"": 15}, ""description"": ""3 bölge tek satır""}, {""input"": [], ""expected"": {}, ""description"": ""boş veri""}]","[""💡 İpucu 1: Boş bir dict: totals = {}"", ""💡 İpucu 2: Her kayıt için totals[region] = totals.get(region, 0) + sales"", ""💡 İpucu 3: totals dict'ini döndür.""]",43,region_totals
pandas,Aykırı Değer Tespiti,aykiri-deger-tespiti,intermediate,"IQR yöntemiyle aykırı değerleri tespit et.
Q1-1.5*IQR altındakiler veya Q3+1.5*IQR üstündekiler aykırıdır.
Sonuç: aykırı değerlerin indeks listesi.","def detect_outliers(nums: list[int]) -> list[int]:
    pass","[{""input"": [1, 2, 2, 3, 3, 3, 100], ""expected"": [6]}, {""input"": [10, 11, 12, 13, 14, 15], ""expected"": []}]","[""💡 İpucu 1: Sıralı listeden Q1 (25. yüzdelik) ve Q3 (75. yüzdelik) hesapla."", ""💡 İpucu 2: IQR = Q3 - Q1; alt sınır = Q1 - 1.5*IQR, üst sınır = Q3 + 1.5*IQR"", ""💡 İpucu 3: [i for i, x in enumerate(data) if x < lower or x > upper]""]",44,detect_outliers
pandas,Rolling Ortalama,rolling-ortalama,intermediate,"k-pencereli rolling (kayan pencere) ortalama hesapla.
Her i >= k-1 için sonuç[i] = ortalama(data[i-k+1 : i+1]); ilk k-1 eleman için None (veya null) döndür.
Liste uzunluğu < k ise tüm liste için None döndür.","def rolling_average(nums: list[float], k: int) -> list[float | None]:
    # Manuel kayan pencere hesabı
    pass","[{""input"": {""data"": [1, 2, 3, 4, 5], ""k"": 3}, ""expected"": [null, null, 2.0, 3.0, 4.0], ""description"": ""k=3, 5 eleman""}, {""input"": {""data"": [10, 20, 30, 40], ""k"": 2}, ""expected"": [null, 15.0, 25.0, 35.0], ""description"": ""k=2""}, {""input"": {""data"": [5, 5, 5], ""k"": 1}, ""expected"": [5.0, 5.0, 5.0], ""description"": ""k=1, hepsi dolu""}, {""input"": {""data"": [1, 2], ""k"": 5}, ""expected"": [null, null], ""description"": ""veri k'dan kısa""}]","[""""İpucu 1: Pencere = liste dilimi data[i-k+1 : i+1]."""", """"İpucu 2: İlk k-1 için None döndür (yetersiz veri)."""", """"İpucu 3: Kısa yol: sum(window) / k.""""]",45,rolling_average
algorithms,İkili Arama,i-kili-arama,beginner,"Sıralı bir listede binary search ile hedef sayının indeksini döndür.
Bulunamazsa -1 döndür.","def binary_search_index(nums: list[int], target: int) -> int:
    # Manuel ikiye bölme, bisect yasak
    pass","[{""input"": {""arr"": [1, 3, 5, 7, 9, 11], ""target"": 7}, ""expected"": 3}, {""input"": {""arr"": [1, 3, 5, 7, 9, 11], ""target"": 6}, ""expected"": -1}, {""input"": {""arr"": [1], ""target"": 1}, ""expected"": 0}]","[""💡 İpucu 1: left=0, right=len(arr)-1 ile başla."", ""💡 İpucu 2: mid = (left+right)//2; arr[mid]>target ise right=mid-1, küçükse left=mid+1"", ""💡 İpucu 3: arr[mid]==target ise mid'i döndür. Döngü biterse -1.""]",46,binary_search_index
algorithms,İki Maaş Bordrosunu Birleştir,i-ki-maas-bordrosunu-birlestir,intermediate,"İki maaş bordrosu kaydını birleştirip tek bir sözlük olarak döndüren fonksiyon yaz. Ortak alanlar üzerinde değerler güncellenir (ikinci sözlük kazanır), çakışmayan alanlar korunur.","def merge_salaries(eng: dict, mkt: dict) -> dict:
    pass","[{""""input"""": [{""""ali"""": 80000, """"ayse"""": 75000}, {""""ayse"""": 72000, """"mehmet"""": 70000}], """"expected"""": {""""ali"""": 80000, """"ayse"""": 72000, """"mehmet"""": 70000}, """"description"""": """"catisma ikinci kazanir""""}, {""""input"""": [{""""a"""": 1}, {""""b"""": 2}], """"expected"""": {""""a"""": 1, """"b"""": 2}, """"description"""": """"ayrik alanlar""""}]","[""💡 İpucu 1: Sonuç sözlüğünü eng kopyasıyla başlat: result = dict(eng)."", ""💡 İpucu 2: mkt içindeki her anahtar-değer çiftini result üzerine yaz: result.update(mkt)."", ""💡 İpucu 3: Python 3.9+’da {**eng, **mkt} tek satırda aynı işi yapar.""]",68,merge_salaries
